Date/Time,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
2016-01-01,1,1,-0.3,-4.2,-2.3,20.3,0,0,,0.8,,0.8,,0,25,46
2016-01-02,1,2,0.3,-4.3,-2,20,0,0,,0,T,0,T,0,23,44
2016-01-03,1,3,1.6,-11.6,-5,23,0,0,,0,T,0,T,0,34,54
2016-01-04,1,4,-11.2,-15.4,-13.3,31.3,0,0,,0,T,0,T,0,2,37
2016-01-05,1,5,-2.6,-15.2,-8.9,26.9,0,0,,0,,0,,0,23,32
2016-01-06,1,6,2.4,-6.8,-2.2,20.2,0,0,,0,,0,,0,23,32
2016-01-07,1,7,4.4,-5.3,-0.5,18.5,0,0,,0,,0,,,,<31
2016-01-08,1,8,4.1,-5.6,-0.8,18.8,0,2.8,,0,,2.8,,,,<31
2016-01-09,1,9,8.6,2.8,5.7,12.3,0,2,,0,,2,,0,,<31
2016-01-10,1,10,6.8,-6.5,0.2,17.8,0,18.2,,0.2,,18.4,,0,28,85
2016-01-11,1,11,-5.9,-10.5,-8.2,26.2,0,0.2,,0,T,0.2,,0,27,65
2016-01-12,1,12,-1.9,-9.7,-5.8,23.8,0,0,,5,,4.4,,2,28,65
2016-01-13,1,13,-7,-10.5,-8.8,26.8,0,0,,0.4,,0.4,,5,28,50
2016-01-14,1,14,-2.1,-8.5,-5.3,23.3,0,0,,0.2,,0.2,,5,25,41
2016-01-15,1,15,4.2,-3,0.6,17.4,0,1.8,,0,,1.8,,2,10,32
2016-01-16,1,16,3.5,-4.4,-0.5,18.5,0,0.8,,0,T,0.8,,0,30,63
2016-01-17,1,17,0.1,-10.6,-5.3,23.3,0,0,,0,T,0,T,0,26,46
2016-01-18,1,18,-7.8,-11.8,-9.8,27.8,0,0,,2.4,,2.2,,2,30,52
