"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1982-01-01","1982","01","01","","3.0","","-7.8","","-2.4","","20.4","","0.0","","2.4","","0.0","T","2.4","","6","","27","","56","E"
"1982-01-02","1982","01","02","","-2.0","","-15.5","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","6","","11","","56","E"
"1982-01-03","1982","01","03","","4.1","","-4.0","","0.1","","17.9","","0.0","","0.2","","0.0","","0.2","","4","","12","","50","E"
"1982-01-04","1982","01","04","","7.5","","-4.4","","1.6","","16.4","","0.0","","10.4","","0.0","T","10.4","","3","","23","","89","E"
"1982-01-05","1982","01","05","","-0.4","","-6.8","","-3.6","","21.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","28","","81","E"
"1982-01-06","1982","01","06","","2.8","","-2.5","","0.2","","17.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","27","","33","E"
"1982-01-07","1982","01","07","","-2.0","","-10.4","","-6.2","","24.2","","0.0","","0.0","","0.0","","0.0","","0","T","30","","46","E"
"1982-01-08","1982","01","08","","-7.5","","-12.1","","-9.8","","27.8","","0.0","","0.0","","1.0","","0.4","","0","T","27","","50","E"
"1982-01-09","1982","01","09","","-9.3","","-23.0","","-16.2","","34.2","","0.0","","0.0","","0.0","T","0.0","T","1","","30","","48","E"
"1982-01-10","1982","01","10","","-15.4","","-26.3","","-20.9","","38.9","","0.0","","0.0","","0.0","T","0.0","T","1","","24","","85","E"
"1982-01-11","1982","01","11","","-10.6","","-25.5","","-18.1","","36.1","","0.0","","0.0","","1.0","","1.0","","1","","24","","80","E"
"1982-01-12","1982","01","12","","-9.7","","-26.4","","-18.1","","36.1","","0.0","","0.0","","0.0","T","0.0","T","2","","","","<31",""
"1982-01-13","1982","01","13","","-6.5","","-12.4","","-9.5","","27.5","","0.0","","0.0","","12.4","","5.7","","5","","6","","31","E"
"1982-01-14","1982","01","14","","-11.3","","-16.4","","-13.9","","31.9","","0.0","","0.0","","1.0","","0.6","","15","","","","<31",""
"1982-01-15","1982","01","15","","-6.6","","-17.2","","-11.9","","29.9","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"1982-01-16","1982","01","16","","-5.4","","-21.5","","-13.5","","31.5","","0.0","","0.0","","2.6","","2.4","","17","","26","","70","E"
"1982-01-17","1982","01","17","","-19.2","","-23.5","","-21.4","","39.4","","0.0","","0.0","","0.0","","0.0","","18","","26","","65","E"
"1982-01-18","1982","01","18","","-12.6","","-19.4","","-16.0","","34.0","","0.0","","0.0","","0.0","T","0.0","T","14","","","","<31",""
"1982-01-19","1982","01","19","","-5.0","","-19.5","","-12.3","","30.3","","0.0","","0.0","","1.2","","0.6","","14","","12","","41","E"
"1982-01-20","1982","01","20","","-3.7","","-12.0","","-7.9","","25.9","","0.0","","0.0","","0.0","","0.0","","10","","32","","39","E"
"1982-01-21","1982","01","21","","-11.5","","-20.1","","-15.8","","33.8","","0.0","","0.0","","2.0","","0.9","","6","","6","","31","E"
"1982-01-22","1982","01","22","","-7.2","","-23.0","","-15.1","","33.1","","0.0","","0.0","","1.4","","0.2","","4","","9","","63","E"
"1982-01-23","1982","01","23","","4.7","","-11.5","","-3.4","","21.4","","0.0","","7.4","","1.6","","9.0","","7","","24","","78","E"
"1982-01-24","1982","01","24","","-10.2","","-14.0","","-12.1","","30.1","","0.0","","0.0","","0.0","T","0.0","T","5","","27","","61","E"
"1982-01-25","1982","01","25","","-9.5","","-17.3","","-13.4","","31.4","","0.0","","0.0","","0.0","T","0.0","T","6","","29","","31","E"
"1982-01-26","1982","01","26","","-8.7","","-20.6","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","6","","","","<31",""
"1982-01-27","1982","01","27","","-3.7","","-16.9","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","6","","19","","39","E"
"1982-01-28","1982","01","28","","2.4","","-7.2","","-2.4","","20.4","","0.0","","0.0","T","0.0","T","0.0","T","6","","27","","70","E"
"1982-01-29","1982","01","29","","-2.8","","-11.2","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","5","","26","","43","E"
"1982-01-30","1982","01","30","","1.0","","-4.7","","-1.9","","19.9","","0.0","","0.0","","5.8","","6.5","","7","","33","","39","E"
"1982-01-31","1982","01","31","","-3.6","","-12.6","","-8.1","","26.1","","0.0","","0.0","","14.0","","14.0","","10","","8","","50",""
"1982-02-01","1982","02","01","","-4.1","","-15.4","","-9.8","","27.8","","0.0","","0.0","T","1.4","","1.6","","25","","30","","56",""
"1982-02-02","1982","02","02","","-1.9","","-20.1","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","T","25","","","","<31",""
"1982-02-03","1982","02","03","","-2.2","","-8.0","","-5.1","","23.1","","0.0","","0.0","","12.4","","9.6","","24","","34","","52",""
"1982-02-04","1982","02","04","","-7.2","","-21.9","","-14.6","","32.6","","0.0","","0.0","","0.0","","0.0","","37","","34","","44",""
"1982-02-05","1982","02","05","","-8.0","","-20.7","","-14.4","","32.4","","0.0","","0.0","","6.0","","5.4","","37","","35","","31",""
"1982-02-06","1982","02","06","","-9.5","","-18.0","","-13.8","","31.8","","0.0","","0.0","","0.0","T","0.0","T","43","","28","","44",""
