"Station Name","TORONTO LESTER B. PEARSON INT'L A"
"Province","ONTARIO"
"Latitude","43.68"
"Longitude","-79.63"
"Elevation","173.40"
"Climate Identifier","6158733"
"WMO Identifier","71624"
"TC Identifier","YYZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1955-01-01","1955","01","01","","3.9","","-5.0","","-0.6","","18.6","","0.0","","12.2","","0.0","","12.2","","3","","","","",""
"1955-01-02","1955","01","02","","4.4","","-0.6","","1.9","","16.1","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1955-01-03","1955","01","03","","4.4","","-3.9","","0.3","","17.7","","0.0","","0.0","T","0.0","","0.0","T","0","T","","","",""
"1955-01-04","1955","01","04","","-0.6","","-4.4","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1955-01-05","1955","01","05","","0.6","","-6.1","","-2.8","","20.8","","0.0","","2.8","","0.0","","2.8","","0","T","","","",""
"1955-01-06","1955","01","06","","0.6","","-1.7","","-0.6","","18.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1955-01-07","1955","01","07","","-1.7","","-5.6","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1955-01-08","1955","01","08","","0.0","","-5.6","","-2.8","","20.8","","0.0","","0.0","","0.3","","0.3","","0","T","","","",""
"1955-01-09","1955","01","09","","1.1","","-3.3","","-1.1","","19.1","","0.0","","0.0","","4.8","","4.8","","0","T","","","",""
"1955-01-10","1955","01","10","","0.0","","-4.4","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","5","","","","",""
"1955-01-11","1955","01","11","","-3.3","","-7.8","","-5.6","","23.6","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1955-01-12","1955","01","12","","-3.3","","-8.9","","-6.1","","24.1","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"1955-01-13","1955","01","13","","-3.9","","-12.8","","-8.4","","26.4","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"1955-01-14","1955","01","14","","-1.1","","-10.0","","-5.6","","23.6","","0.0","","0.0","T","1.0","","1.0","","3","","","","",""
"1955-01-15","1955","01","15","","1.7","","-3.9","","-1.1","","19.1","","0.0","","0.0","T","1.0","","1.0","","4","","","","",""
"1955-01-16","1955","01","16","","-2.2","","-6.7","","-4.5","","22.5","","0.0","","0.0","","0.3","","0.3","","4","","","","",""
"1955-01-17","1955","01","17","","-6.7","","-14.4","","-10.6","","28.6","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"1955-01-18","1955","01","18","","-3.9","","-11.7","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"1955-01-19","1955","01","19","","-6.7","","-12.2","","-9.5","","27.5","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"1955-01-20","1955","01","20","","-7.8","","-14.4","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1955-01-21","1955","01","21","","1.1","","-14.4","","-6.7","","24.7","","0.0","","0.0","T","2.5","","2.5","","3","","","","",""
"1955-01-22","1955","01","22","","0.6","","-3.3","","-1.4","","19.4","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
