"Station Name","TORONTO INTL A"
"Province","ONTARIO"
"Latitude","43.68"
"Longitude","-79.63"
"Elevation","173.40"
"Climate Identifier","6158731"
"WMO Identifier","71624"
"TC Identifier","YYZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","‡","-1.9","","-8.1","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","0","","23","","57",""
"2015-01-02","2015","01","02","‡","-1.0","","-6.1","","-3.6","","21.6","","0.0","","0.0","","0.4","","0.6","","0","","29","","50",""
"2015-01-03","2015","01","03","‡","1.5","","-5.8","","-2.2","","20.2","","0.0","","8.0","","2.4","","10.8","","0","","12","","48",""
"2015-01-04","2015","01","04","‡","4.3","","-5.9","","-0.8","","18.8","","0.0","","6.4","","0.4","","6.8","","0","","29","","61",""
"2015-01-05","2015","01","05","‡","-5.8","","-14.4","","-10.1","","28.1","","0.0","","0.0","","0.8","","0.8","","1","","27","","67",""
"2015-01-06","2015","01","06","‡","-8.3","","-13.6","","-11.0","","29.0","","0.0","","0.0","","0.4","","0.4","","1","","25","","50",""
"2015-01-07","2015","01","07","‡","-9.4","","-18.3","","-13.9","","31.9","","0.0","","0.0","","0.4","","0.4","","1","","36","","57",""
"2015-01-08","2015","01","08","‡","-9.4","","-16.9","","-13.2","","31.2","","0.0","","0.0","","1.2","","1.2","","1","","23","","61",""
"2015-01-09","2015","01","09","‡","-6.4","","-13.9","","-10.2","","28.2","","0.0","","0.0","","1.6","","1.6","","2","","28","","65",""
"2015-01-10","2015","01","10","‡","-10.0","","-15.8","","-12.9","","30.9","","0.0","","0.0","","0.0","","0.0","","4","","23","","59",""
